hash_,rating,position,name,club,league,country,skillboost
7230,74,ST,Palacio,Bologna,"Italy Serie A",Argentina,ACCELERATION
7231,74,CB,Hoogland,"Melbourne Victory","Australia A-League",Germany,TACKLING
7232,74,CM,Stephens,"Brighton & Hove Albion","England Premier League",England,INTERCEPTIONS
7233,74,RB,"Miguel Lopes",Kayserispor,"Turkey Süper Lig",Portugal,CROSSING
7234,74,ST,"Le Fondre","Sydney FC","Australia A-League",England,SHOOTING
7235,74,ST,Campbell,León,"Mexico Liga MX","Costa Rica",SHOOTING
7236,74,LB,Traoré,"Melbourne Victory","Australia A-League","Côte d Ivoire",BALANCED
7237,74,CAM,Biseswar,"PAOK FC","Rest of W",Netherlands,COUNTER
7238,74,CM,Guzmán,Pachuca,"Mexico Liga MX",Mexico,BOXTOBOX
7239,74,RB,"Júnior Caiçara","Medipol Başakşehir","Turkey Süper Lig",Brazil,BALANCED
7240,74,ST,Gigliotti,Toluca,"Mexico Liga MX",Argentina,SHOOTING
7241,74,ST,Jørgensen,Feyenoord,"Holland Eredivisie",Denmark,SHOOTING
7242,74,GK,Bolat,Antwerp,"Belgium Pro League",Turkey,HANDLING
7243,74,RB,Montiel,Núñez,"Argentina Primera División",Argentina,BALANCED
7244,74,CB,Benković,"Bristol City","England Championship",Croatia,PHYSICAL
7245,74,RM,Romero,"San Lorenzo de Almagro","Argentina Primera División",Paraguay,FREEKICK
7246,74,LB,Cresswell,"West Ham United","England Premier League",England,CROSSING
7247,74,LB,Kaldırım,Fenerbahçe,"Turkey Süper Lig",Turkey,CROSSING
7248,74,RM,Embarba,"RCD Espanyol","Spain Primera División",Spain,VISION
7249,74,CDM,Kouyaté,"Crystal Palace","England Premier League",Senegal,PASSING
7250,74,ST,Augustin,"AS Monaco","France Ligue 1",France,SHOOTING
7251,74,ST,Guidetti,"Deportivo Alavés","Spain Primera División",Sweden,FINISHING
7252,74,GK,Mvogo,"RB Leipzig","Germany 1. Bundesliga",Switzerland,DIVING
7253,74,CM,Camarasa,"Crystal Palace","England Premier League",Spain,LONGPASSING
7254,74,CAM,Shibasaki,"RC Deportivo","Spain Segunda División",Japan,VISION
7255,74,CDM,Ascacíbar,"Hertha BSC","Germany 1. Bundesliga",Argentina,INTERCEPTIONS
7256,74,RB,Lang,"Werder Bremen","Germany 1. Bundesliga",Switzerland,DEFENDING
7257,74,CF,Waldschmidt,"SC Freiburg","Germany 1. Bundesliga",Germany,TARGETMAN
7258,74,CDM,Onazi,Trabzonspor,"Turkey Süper Lig",Nigeria,PASSING
7259,74,LM,Caio,"SL Benfica","Portugal Primeira Liga",Brazil,VISION
7260,74,CAM,Mancuello,Toluca,"Mexico Liga MX",Argentina,VISION
7261,74,ST,Abraham,Chelsea,"England Premier League",England,POACHER
7262,74,CB,Cissé,"Olympiacos CFP","Rest of W",Senegal,MARKING
7263,74,CAM,Hunt,"Hamburger SV","Germany 2. Bundesliga",Germany,COUNTER
7264,74,RM,Ayew,"Swansea City","England Championship",Ghana,FREEKICK
7265,74,CM,"Ki Sung Yueng","RCD Mallorca","Spain Primera División","Korea Republic",INTERCEPTIONS
7266,74,LB,Tierney,Arsenal,"England Premier League",Scotland,DEFENDING
7267,74,CB,Denswil,Bologna,"Italy Serie A",Netherlands,MARKING
7268,74,GK,Jaume,"Valencia CF","Spain Primera División",Spain,GKGENERALIST
7269,74,LW,Amuzu,Anderlecht,"Belgium Pro League",Belgium,AGILITY
7270,74,RM,Brizuela,Guadalajara,"Mexico Liga MX",Mexico,FREEKICK
7271,74,CB,Gigot,"Spartak Moskva","Rest of W",France,TACKLING
7272,74,CB,Sarr,"OGC Nice","France Ligue 1",France,AGGRESSION
7273,74,CB,"Pablo Marí",Arsenal,"England Premier League",Spain,TACKLING
7274,74,CDM,Hendrickx,Charleroi,"Belgium Pro League",Belgium,CAPTAIN
7275,74,RM,Hernández,"Cruz Azul","Mexico Liga MX",Mexico,FREEKICK
7276,74,CM,Blas,"FC Nantes","France Ligue 1",France,BOXTOBOX
7277,74,ST,Musona,Eupen,"Belgium Pro League",Zimbabwe,TARGETMAN
7278,73,CM,Bissouma,"Brighton & Hove Albion","England Premier League",Mali,LONGPASSING
7279,73,CDM,Cristóforo,"SD Eibar","Spain Primera División",Uruguay,LONGPASSING
7280,73,RB,Zabaleta,"West Ham United","England Premier League",Argentina,CROSSING
7281,73,CM,"Salva Sevilla","RCD Mallorca","Spain Primera División",Spain,BOXTOBOX
7282,73,LM,Konoplyanka,"Shakhtar Donetsk","Rest of W",Ukraine,FREEKICK
7283,73,CM,McGinn,"Aston Villa","England Premier League",Scotland,PASSING
7284,73,CB,Gnagnon,"Stade Rennais","France Ligue 1",France,PHYSICAL
7285,73,ST,Niederlechner,"FC Augsburg","Germany 1. Bundesliga",Germany,ACCELERATION
7286,73,CAM,Acosta,"D.C. United","USA Major League Soccer",Argentina,FREEKICK
7287,73,CM,Granell,"Girona FC","Spain Segunda División",Spain,LONGPASSING
7288,73,CAM,Fabián,"Philadelphia Union","USA Major League Soccer",Mexico,FREEKICK
7289,73,RM,Minamino,Liverpool,"England Premier League",Japan,FREEKICK
7290,73,CB,"Rafa López","Hyderabad FC","Indian Super League",Spain,STRENGTH
7291,73,LM,Fernández,"Buenos Aires","Argentina Primera División",Argentina,BALLCONTROL
7292,73,CB,Sollbauer,Barnsley,"England Championship",Austria,TACKLING
7293,73,ST,Sougou,"Mumbai City FC","Indian Super League",Senegal,ACCELERATION
7294,73,RB,Bennett,"Blackburn Rovers","England Championship",England,DEFENDING
7295,73,CB,Hoedt,Antwerp,"Belgium Pro League",Netherlands,MARKING
7296,73,CB,Alanís,Guadalajara,"Mexico Liga MX",Mexico,HOLDING
7297,73,GK,Mäenpää,"Bristol City","England Championship",Finland,GKGENERALIST
7298,73,CB,Kabak,"FC Schalke 04","Germany 1. Bundesliga",Turkey,HOLDING
7299,73,CDM,Tonali,Brescia,"Italy Serie A",Italy,BOXTOBOX
7300,73,ST,Hemed,"Charlton Athletic","England Championship",Israel,SECONDSTRIKER
7301,73,GK,Fielding,Millwall,"England Championship",England,REFLEXES
7302,73,LM,"Borja García","Girona FC","Spain Segunda División",Spain,VISION
7303,73,CM,Bertolacci,Sampdoria,"Italy Serie A",Italy,BOXTOBOX
7304,73,RW,Ito,Genk,"Belgium Pro League",Japan,AGILITY
7305,73,RM,Katai,"Los Angeles Galaxy","USA Major League Soccer",Serbia,VISION
7306,73,GK,Rajkovic,"Stade de Reims","France Ligue 1",Serbia,GKGENERALIST
7307,73,CAM,Aseri,"Al Ahli","Saudi Pro League","Saudi Arabia",LONGSHOTS
7308,73,ST,Böðvarsson,Millwall,"England Championship",Iceland,ACCELERATION
7309,73,CB,Gulde,"SC Freiburg","Germany 1. Bundesliga",Germany,TACKLING
7310,73,CDM,Vázquez,"Santos Laguna","Mexico Liga MX",Mexico,LONGPASSING
7311,73,RM,Barbona,"Racing Club de Avellaneda","Argentina Primera División",Argentina,BALLCONTROL
7312,73,ST,Karaman,"Fortuna Düsseldorf","Germany 1. Bundesliga",Turkey,LONGSHOTS
7313,73,GK,Rudd,"Preston North End","England Championship",England,GKGENERALIST
7314,73,ST,Jara,Pachuca,"Mexico Liga MX",Argentina,POACHER
7315,73,CB,Francis,Bournemouth,"England Premier League",England,HOLDING
7316,73,GK,Gabriel,Lecce,"Italy Serie A",Brazil,GKPOSITIONING
7317,73,RB,Lazaro,Inter,"Italy Serie A",Austria,REACTIONS
7318,73,RB,"Àngel Rangel","Queens Park Rangers","England Championship",Spain,CROSSING
7319,73,LB,"Álex Moreno","Real Betis Balompié","Spain Primera División",Spain,PACE
7320,73,ST,Meité,Reading,"England Championship","Côte d Ivoire",SHOOTING
7321,73,CDM,Mendy,"Leicester City","England Premier League",France,PASSING
7322,73,CB,"Rodrigo Ely","Deportivo Alavés","Spain Primera División",Brazil,PHYSICAL
7323,73,GK,"Martín Arias","Gimnasia y Esgrima La Plata","Argentina Primera División",Argentina,GKPOSITIONING
7324,73,CM,Kurtić,Parma,"Italy Serie A",Slovenia,BOXTOBOX
7325,73,RM,Lowe,"Wigan Athletic","England Championship",England,FREEKICK
7326,73,LWB,Oczipka,"FC Schalke 04","Germany 1. Bundesliga",Germany,BALANCED
7327,73,ST,Garner,"Wigan Athletic","England Championship",England,POACHER
7328,73,CM,Sankharé,"Girondins de Bordeaux","France Ligue 1",Senegal,INTERCEPTIONS
7329,73,ST,Onisiwo,"1. FSV Mainz 05","Germany 1. Bundesliga",Austria,TARGETMAN
7330,73,CDM,"Le Tallec","Montpellier HSC","France Ligue 1",France,DESTROYER
7331,73,LB,Saracchi,Galatasaray,"Turkey Süper Lig",Uruguay,CROSSING
7332,73,LB,Haps,Feyenoord,"Holland Eredivisie",Netherlands,BALANCED
7333,73,LB,Koné,"Olympique Lyonnais","France Ligue 1",Mali,BALANCED
7334,73,CB,Uduokhai,"FC Augsburg","Germany 1. Bundesliga",Germany,STRENGTH
7335,73,GK,Niță,"Sparta Praha","Rest of W",Romania,DIVING
7336,73,RB,Lowton,Burnley,"England Premier League",England,CROSSING
7337,73,ST,Paloschi,Cagliari,"Italy Serie A",Italy,ACCELERATION
7338,73,CDM,Maciel,Aldosivi,"Argentina Primera División",Argentina,INTERCEPTIONS
7339,73,RM,Elis,"Houston Dynamo","USA Major League Soccer",Honduras,LONGSHOTS
7340,73,CM,Fernández,"Junior de Barranquilla","Colombia Categoría Primera",Chile,LONGPASSING
7341,73,LB,Licht,"Gimnasia y Esgrima La Plata","Argentina Primera División",Argentina,PACE
7342,73,CM,Diawara,Roma,"Italy Serie A",Guinea,LONGPASSING
7343,73,LW,Insaurralde,"Newell s Old Boys","Argentina Primera División",Argentina,SHOTPOWER
7344,73,RM,"Kwon Chang Hoon","SC Freiburg","Germany 1. Bundesliga","Korea Republic",VISION
7345,73,RB,Kędziora,"Dynamo Kyiv","Rest of W",Poland,REACTIONS
7346,73,CB,Hegazi,"West Bromwich Albion","England Championship",Egypt,TACKLING
7347,73,RM,Boyd,Beşiktaş,"Turkey Süper Lig","United States",FREEKICK
7348,73,CAM,"Wolff Eikrem","Molde FK","Norway Eliteserien",Norway,COUNTER
7349,73,CAM,Drexler,"1. FC Köln","Germany 1. Bundesliga",Germany,FREEKICK
7350,73,LW,Gray,"Leicester City","England Premier League",England,SHOTPOWER
7351,73,LW,Pjaca,"Piemonte Calcio","Italy Serie A",Croatia,SHOTPOWER
7352,73,ST,Kouamé,Fiorentina,"Italy Serie A","Côte d Ivoire",SHOOTING
7353,73,CDM,Topal,"Medipol Başakşehir","Turkey Süper Lig",Turkey,LONGPASSING
7354,73,LM,Quiñones,"Tigres U.A.N.L.","Mexico Liga MX",Colombia,FREEKICK
7355,73,RB,Rodrigo,"PAOK FC","Rest of W",Brazil,DEFENDING
7356,73,CDM,"Fran Beltrán","RC Celta de Vigo","Spain Primera División",Spain,PASSING
7357,73,CB,Kongolo,"Huddersfield Town","England Championship",Netherlands,AGGRESSION
7358,73,LM,Kainz,"1. FC Köln","Germany 1. Bundesliga",Austria,COUNTER
7359,73,ST,Muriqi,Fenerbahçe,"Turkey Süper Lig",Kosovo,SHOOTING
7360,73,GK,Sergio,"RC Celta de Vigo","Spain Primera División",Spain,GKPOSITIONING
7361,73,CM,Nagbe,"Columbus Crew SC","USA Major League Soccer","United States",BOXTOBOX
7362,73,CAM,Buonanotte,"Universidad Católica","Chile Primera División",Argentina,VISION
7363,73,LM,Zeneli,"Stade de Reims","France Ligue 1",Kosovo,VISION
7364,73,CM,Surman,Bournemouth,"England Premier League",England,PASSING
7365,73,GK,Randolph,Middlesbrough,"England Championship","Republic of Ireland",GKGENERALIST
7366,73,LW,"Jovane Cabral","Sporting CP","Portugal Primeira Liga","Cape Verde Islands",SPEED
7367,73,CB,Dann,"Crystal Palace","England Premier League",England,TACKLING
7368,73,CB,"Ivanildo Fernandes",Trabzonspor,"Turkey Süper Lig",Portugal,STOPPER
7369,73,RB,Henrichs,"AS Monaco","France Ligue 1",Germany,DEFENDING
7370,73,RW,Chevalier,"Valenciennes FC","France Ligue 2",France,DRIBBLING
7371,73,RB,Zaldúa,"Real Sociedad","Spain Primera División",Spain,REACTIONS
7372,73,CM,Ralls,"Cardiff City","England Championship",England,LONGPASSING
7373,73,LW,Luquinhas,"Legia Warszawa","Poland Ekstraklasa",Brazil,ATTACKING
7374,73,CB,Kelly,"Crystal Palace","England Premier League",England,STRENGTH
7375,73,LW,Bolasie,"Sporting CP","Portugal Primeira Liga","Congo DR",SPEED
7376,73,RW,Fuenzalida,"Universidad Católica","Chile Primera División",Chile,SPEED
7377,73,RM,Fulgini,"Angers SCO","France Ligue 1",France,VISION
7378,73,LB,James,"Doncaster Rovers","England League One",England,PACE
7379,73,CDM,Martins,"BSC Young Boys","Switzerland Super League",Luxembourg,INTERCEPTIONS
7380,73,CB,Daprelà,"FC Lugano","Switzerland Super League",Switzerland,STOPPER
7381,73,CB,Bianchi,"Atlético Tucumán","Argentina Primera División",Argentina,STRENGTH
7382,73,CM,Toma,"FC Sion","Switzerland Super League",Switzerland,INTERCEPTIONS
7383,73,ST,Hurtado,Monterrey,"Mexico Liga MX",Colombia,POACHER
7384,73,RB,Rüfli,"FC St. Gallen","Switzerland Super League",Switzerland,DEFENDING
7385,73,GK,Vukovic,Genk,"Belgium Pro League",Australia,REFLEXES
7386,73,ST,Janssen,Monterrey,"Mexico Liga MX",Netherlands,FINISHING
7387,73,CB,Retsos,"Bayer 04 Leverkusen","Germany 1. Bundesliga",Greece,STOPPER
7388,73,ST,Hernández,"RCD Mallorca","Spain Primera División",Colombia,TARGETMAN
7389,73,LW,Mouche,"CD Viñazur","Chile Primera División",Argentina,COUNTER
7390,73,RM,"Adama Traoré","Wolverhampton Wanderers","England Premier League",Spain,AGILITY
7391,73,RM,Palacios,Independiente,"Argentina Primera División",Argentina,VISION
7392,73,GK,"Kiko Casilla","Leeds United","England Championship",Spain,GKGENERALIST
7393,73,RB,"Clinton Mata","Club Brugge","Belgium Pro League",Angola,BALANCED
7394,73,GK,"Ben Mustapha","Al Shabab","Saudi Pro League",Tunisia,HANDLING
7395,73,CM,Cohade,"FC Metz","France Ligue 1",France,CAPTAIN
7396,73,RM,"Óscar Plano","Real Valladolid","Spain Primera División",Spain,FREEKICK
7397,73,RWB,Risdon,"Western United FC","Australia A-League",Australia,CROSSING
7398,73,RW,Frieser,LASK,"Austria Bundesliga",Austria,DRIBBLING
7399,73,ST,Soudani,"Olympiacos CFP","Rest of W",Algeria,SECONDSTRIKER
7400,73,CAM,Stanciu,"Slavia Praha","Rest of W",Romania,LONGSHOTS
7401,73,GK,Pasveer,Vitesse,"Holland Eredivisie",Netherlands,HANDLING
7402,73,ST,Tutino,Empoli,"Italy Serie B",Italy,POACHER
7403,73,ST,Caio,"Al Ain FC","Rest of W",Brazil,TARGETMAN
7404,73,CAM,Labyad,Ajax,"Holland Eredivisie",Morocco,FREEKICK
7405,73,CB,Jemerson,"AS Monaco","France Ligue 1",Brazil,MARKING
7406,73,CDM,Domingo,Independiente,"Argentina Primera División",Argentina,LONGPASSING
7407,73,GK,Kraft,"Hertha BSC","Germany 1. Bundesliga",Germany,NUMBER1
7408,73,GK,Cota,León,"Mexico Liga MX",Mexico,DIVING
7409,73,CM,Lasne,"Stade Brestois 29","France Ligue 1",France,INTERCEPTIONS
7410,73,CAM,"Carles Gil","New England Revolution","USA Major League Soccer",Spain,VISION
7411,73,RM,Bowen,"West Ham United","England Premier League",England,FREEKICK
7412,73,RM,"Marcos Guilherme","Al Wehda","Saudi Pro League",Brazil,VISION
7413,73,ST,Coro,"FC Goa","Indian Super League",Spain,POACHER
7414,73,LM,Simon,"FC Nantes","France Ligue 1",Nigeria,VISION
7415,73,GK,Cifuentes,"Cádiz CF","Spain Segunda División",Spain,GKGENERALIST
7416,73,CB,"Yohan Tavares",Tondela,"Portugal Primeira Liga",Portugal,STRENGTH
7417,73,CB,"González Pirez","Atlanta United FC","USA Major League Soccer",Argentina,TACKLING
7418,73,LB,Ricca,"Club Brugge","Belgium Pro League",Uruguay,DEFENDING
7419,73,LW,Barnes,"Leicester City","England Premier League",England,ATTACKING
7420,73,CM,Račić,Famalicão,"Portugal Primeira Liga",Serbia,INTERCEPTIONS
7421,73,RB,Mano,"Vitória Setúbal","Portugal Primeira Liga",Portugal,CROSSING
7422,73,CB,Dawson,Watford,"England Premier League",England,MARKING
7423,73,GK,Radu,Parma,"Italy Serie A",Romania,DIVING
7424,73,RM,Guilherme,"Yeni Malatyaspor","Turkey Süper Lig",Brazil,FREEKICK
7425,73,RM,Solari,"Racing Club de Avellaneda","Argentina Primera División",Argentina,LONGSHOTS
7426,73,RWB,Maitland-Niles,Arsenal,"England Premier League",England,CROSSING
7427,73,LM,Waldo,"Real Valladolid","Spain Primera División",Spain,FREEKICK
7428,73,ST,Kharbin,"Al Hilal","Saudi Pro League",Syria,POACHER
7429,73,LM,Walterson,Famalicão,"Portugal Primeira Liga",Brazil,FREEKICK
7430,73,ST,Tawamba,"Al Taawoun","Saudi Pro League",Cameroon,SHOOTING
7431,73,RM,Schnatterer,"1. FC Heidenheim","Germany 2. Bundesliga",Germany,VISION
7432,73,GK,Gomis,"Dijon FCO","France Ligue 1",Senegal,NUMBER1
7433,73,ST,Lukébakio,"Hertha BSC","Germany 1. Bundesliga",Belgium,POACHER
7434,73,CDM,Hogg,"Huddersfield Town","England Championship",England,LONGPASSING
7435,73,CM,Tameze,"OGC Nice","France Ligue 1",France,INTERCEPTIONS
7436,73,CM,Domínguez,"Vélez Sarsfield","Argentina Primera División",Argentina,PASSING
7437,73,CDM,Alonso,"Minnesota United FC","USA Major League Soccer",Cuba,PASSING
7438,73,GK,Johnstone,"West Bromwich Albion","England Championship",England,DIVING
7439,73,CB,González,"Los Angeles Galaxy","USA Major League Soccer","Costa Rica",PHYSICAL
7440,73,CM,Medrán,"Valencia CF","Spain Primera División",Spain,LONGPASSING
7441,73,GK,Corona,"Cruz Azul","Mexico Liga MX",Mexico,HANDLING
7442,73,CB,"Manuel da Costa",Trabzonspor,"Turkey Süper Lig",Morocco,AGGRESSION
7443,73,LM,Thuram,"Borussia M gladbach","Germany 1. Bundesliga",France,COUNTER
7444,73,CB,Austin,"Esbjerg fB","Denmark Superliga",Jamaica,AGGRESSION
7445,73,RB,Schmid,"SC Freiburg","Germany 1. Bundesliga",France,CROSSING
7446,73,CM,Donsah,"Cercle Brugge","Belgium Pro League",Ghana,LONGPASSING
7447,73,CM,Fofana,Udinese,"Italy Serie A","Côte d Ivoire",CAPTAIN
7448,73,RB,Holgate,Everton,"England Premier League",England,PACE
7449,73,RB,Svensson,AZ,"Holland Eredivisie",Norway,CROSSING
7450,73,ST,Harnik,"Hamburger SV","Germany 2. Bundesliga",Austria,FINISHING
7451,73,CM,Midtsjø,AZ,"Holland Eredivisie",Norway,LONGPASSING
7452,73,LM,March,"Brighton & Hove Albion","England Premier League",England,FREEKICK
7453,73,CB,Touré,Gençlerbirliği,"Turkey Süper Lig",Senegal,STRENGTH
7454,73,LB,Gibbs,"West Bromwich Albion","England Championship",England,REACTIONS
7455,73,RB,Sacko,"Vitória Guimarães","Portugal Primeira Liga",Mali,REACTIONS
7456,73,ST,Parlak,"MKE Ankaragücü","Turkey Süper Lig",Turkey,POACHER
7457,73,GK,Kalinić,"Aston Villa","England Premier League",Croatia,GKPOSITIONING
7458,73,ST,Blandi,"San Lorenzo de Almagro","Argentina Primera División",Argentina,TARGETMAN
7459,73,CM,Lerager,Genoa,"Italy Serie A",Denmark,LONGPASSING
7460,73,CAM,Boschilia,"AS Monaco","France Ligue 1",Brazil,VISION
7461,73,RM,Phillips,"West Bromwich Albion","England Championship",Scotland,LONGSHOTS
7462,73,LM,Stanislas,Bournemouth,"England Premier League",England,FREEKICK
7463,73,CAM,Zajc,Fenerbahçe,"Turkey Süper Lig",Slovenia,FREEKICK
7464,73,CM,Castro,"VfB Stuttgart","Germany 2. Bundesliga",Germany,DESTROYER
7465,73,CB,Omeruo,"CD Leganés","Spain Primera División",Nigeria,TACKLING
7466,73,GK,Lössl,Everton,"England Premier League",Denmark,GKGENERALIST
7467,73,ST,"Fran Sol","Dynamo Kyiv","Rest of W",Spain,POACHER
7468,73,CM,"Mario Suárez","Rayo Vallecano","Spain Segunda División",Spain,BOXTOBOX
7469,73,RW,"Bruno Tabata",Portimonense,"Portugal Primeira Liga",Brazil,ATTACKING
7470,73,GK,Álvarez,"Real Zaragoza","Spain Segunda División",Argentina,GKPOSITIONING
7471,73,ST,Braithwaite,"CD Leganés","Spain Primera División",Denmark,SECONDSTRIKER
7472,73,LWB,Mojica,"Girona FC","Spain Segunda División",Colombia,PACE
7473,73,ST,Assalé,"BSC Young Boys","Switzerland Super League","Côte d Ivoire",TARGETMAN
7474,73,ST,Diallo,"FC Metz","France Ligue 1",Senegal,SECONDSTRIKER
7475,73,CDM,Behrami,"FC Sion","Switzerland Super League",Switzerland,PASSING
7476,73,CAM,Refaelov,Antwerp,"Belgium Pro League",Israel,VISION
7477,73,CAM,Quintero,"Houston Dynamo","USA Major League Soccer",Colombia,FREEKICK
7478,73,RW,Jobello,"Coventry City","England League One",France,AGILITY
7479,73,CB,Langkamp,"Werder Bremen","Germany 1. Bundesliga",Germany,AGGRESSION
7480,73,CAM,Ninković,"Sydney FC","Australia A-League",Serbia,COUNTER
7481,73,CAM,Çolak,"Al Wehda","Saudi Pro League",Turkey,VISION
7482,73,ST,Germain,"Olympique de Marseille","France Ligue 1",France,SECONDSTRIKER
7483,73,CAM,Bessa,"Hellas Verona","Italy Serie A",Italy,COUNTER
7484,73,GK,Lodygin,"Gazişehir Gaziantep F.K.","Turkey Süper Lig",Russia,HANDLING
7485,73,CB,Koné,"RC Strasbourg","France Ligue 1","Côte d Ivoire",STRENGTH
7486,73,CDM,Touré,"FC Nantes","France Ligue 1",France,LONGPASSING
7487,73,ST,Morelos,Rangers,"Scotland Premiership",Colombia,SHOOTING
7488,73,LW,Jesé,"Sporting CP","Portugal Primeira Liga",Spain,SHOTPOWER
7489,73,CB,Velázquez,"Rayo Vallecano","Spain Segunda División",Uruguay,PHYSICAL
7490,73,RM,Waris,"FC Porto","Portugal Primeira Liga",Ghana,FREEKICK
7491,73,CM,Gutiérrez,"Sporting KC","USA Major League Soccer",Chile,PASSING
7492,73,CDM,Sydorchuk,"Dynamo Kyiv","Rest of W",Ukraine,PASSING
7493,73,LB,Laifis,"Standard Liège","Belgium Pro League",Cyprus,CROSSING
7494,73,ST,David,Gent,"Belgium Pro League",Canada,FINISHING
7495,73,ST,"Manu Vallejo","Valencia CF","Spain Primera División",Spain,SHOOTING
7496,73,CB,"Luís Hernández","Málaga CF","Spain Segunda División",Spain,TACKLING
7497,73,LW,Eysseric,"Hellas Verona","Italy Serie A",France,ATTACKING
7498,73,CM,Rog,Cagliari,"Italy Serie A",Croatia,CAPTAIN
7499,73,CM,Duncan,Fiorentina,"Italy Serie A",Ghana,LONGPASSING
7500,73,CAM,Boumous,"FC Goa","Indian Super League",Morocco,FREEKICK
7501,73,CAM,Durmaz,Galatasaray,"Turkey Süper Lig",Sweden,LONGSHOTS
7502,73,CB,Kádár,"Dynamo Kyiv","Rest of W",Hungary,TACKLING
7503,73,ST,Furch,"Santos Laguna","Mexico Liga MX",Argentina,TARGETMAN
7504,73,CDM,Nagy,"Bristol City","England Championship",Hungary,PASSING
7505,73,CDM,"Alfa Semedo","Nottingham Forest","England Championship",Guinea-Bissau,LONGPASSING
7506,73,CDM,"Luis Milla","CD Tenerife","Spain Segunda División",Spain,INTERCEPTIONS
7507,73,CAM,Élton,"Al Wehda","Saudi Pro League",Brazil,VISION
7508,73,LB,Brenet,Vitesse,"Holland Eredivisie",Netherlands,CROSSING
7509,73,LWB,Ritchie,"Newcastle United","England Premier League",Scotland,BALANCED
7510,73,CDM,Hernández,Pachuca,"Mexico Liga MX",Mexico,DESTROYER
7511,73,GK,Gikiewicz,"1. FC Union Berlin","Germany 1. Bundesliga",Poland,HANDLING
7512,73,CM,Danilo,"OGC Nice","France Ligue 1",Brazil,LONGPASSING
7513,73,RM,Londoño,"Once Caldas","Colombia Categoría Primera",Colombia,BALLCONTROL
7514,73,RM,Hendrick,Burnley,"England Premier League","Republic of Ireland",FREEKICK
7515,73,CAM,Klement,"VfB Stuttgart","Germany 2. Bundesliga",Germany,COUNTER
7516,73,CDM,Ademi,"Dinamo Zagreb","Rest of W","FYR Macedonia",CAPTAIN
7517,73,CM,"João Novais",Braga,"Portugal Primeira Liga",Portugal,DESTROYER
7518,73,ST,Robson-Kanu,"West Bromwich Albion","England Championship",Wales,ACCELERATION
7519,73,CM,Norwood,"Sheffield United","England Premier League","Northern Ireland",BOXTOBOX
7520,73,CDM,Bargfrede,"Werder Bremen","Germany 1. Bundesliga",Germany,CAPTAIN
7521,73,CAM,Potuk,Fenerbahçe,"Turkey Süper Lig",Turkey,COUNTER
7522,73,LM,Machís,"Granada CF","Spain Primera División",Venezuela,FREEKICK
7523,73,CB,Kempf,"VfB Stuttgart","Germany 2. Bundesliga",Germany,TACKLING
7524,73,CB,Yoshida,Sampdoria,"Italy Serie A",Japan,TACKLING
7525,73,CM,Jankto,Sampdoria,"Italy Serie A","Czech Republic",LONGPASSING
7526,73,RB,"Javi López","RCD Espanyol","Spain Primera División",Spain,BALANCED
7527,73,ST,Hansch,"Hallescher FC","Germany 3. Liga",Germany,POACHER
7528,73,RB,"D Ambrosio",Inter,"Italy Serie A",Italy,CROSSING
7529,73,GK,Sepe,Parma,"Italy Serie A",Italy,DIVING
7530,73,CB,Conti,"SL Benfica","Portugal Primeira Liga",Argentina,STRENGTH
7531,73,LM,Cueva,Pachuca,"Mexico Liga MX",Peru,FREEKICK
7532,73,RM,Bartels,"Werder Bremen","Germany 1. Bundesliga",Germany,FREEKICK
7533,73,RB,"João Aurélio",Moreirense,"Portugal Primeira Liga",Portugal,BALANCED
7534,73,ST,Carrillo,"CD Leganés","Spain Primera División",Argentina,POACHER
7535,73,RW,Wilson,Bournemouth,"England Premier League",Wales,ATTACKING
7536,73,LM,Berisha,Lazio,"Italy Serie A",Kosovo,VISION
7537,73,CB,Lucumi,Genk,"Belgium Pro League",Colombia,STRENGTH
7538,73,ST,"Jonatan Soriano","Girona FC","Spain Segunda División",Spain,POACHER
7539,73,CB,Traoré,"Angers SCO","France Ligue 1","Côte d Ivoire",HOLDING
7540,73,CDM,Arslan,Fenerbahçe,"Turkey Süper Lig",Germany,PASSING
7541,73,RM,Şahiner,Konyaspor,"Turkey Süper Lig",Turkey,COUNTER
7542,73,RB,Guzmán,Necaxa,"Mexico Liga MX",Mexico,PACE
7543,73,CAM,Armstrong,Southampton,"England Premier League",Scotland,BALLCONTROL
7544,73,RW,Billiat,"Kaizer Chiefs","Rest of W",Zimbabwe,SPEED
7545,73,RW,Susaeta,"Melbourne City","Australia A-League",Spain,SHOTPOWER
7546,73,CB,Cabaco,"Levante UD","Spain Primera División",Uruguay,PHYSICAL
7547,73,CM,Iniestra,"Pumas U.N.A.M.","Mexico Liga MX",Mexico,BOXTOBOX
7548,73,LW,"Ivan Cavaleiro",Fulham,"England Championship",Portugal,DRIBBLING
7549,73,ST,Ponce,"Spartak Moskva","Rest of W",Argentina,SHOOTING
7550,73,RM,Leiva,Necaxa,"Mexico Liga MX",Chile,FREEKICK
7551,73,RB,Santon,Roma,"Italy Serie A",Italy,DEFENDING
7552,73,CB,Bronn,Gent,"Belgium Pro League",Tunisia,AGGRESSION
7553,73,RB,Rodríguez,"Tigres U.A.N.L.","Mexico Liga MX",Mexico,PACE
7554,73,RM,Thioub,"Angers SCO","France Ligue 1",Senegal,VISION
