,Course Name,University,Location,Cost,Cost per,Duration,Extra
1058,Software Engineering, George Mason University ," Fairfax, Virginia, United States ",1166 EUR,credit,1 year,M.Sc. Full-time
1059,International Relations and Security, University of Liverpool ," Liverpool, England, United Kingdom ",21495 EUR,year,1 year,M.Res. Full-time Part-time Blended Learning
1060,Creative Technologies, De Montfort University ," Leicester, England, United Kingdom ",17592 EUR,year,1 year,Full-time Part-time
1061,Digital Health, University College Cork ," Cork, Ireland ",,,2 years,M.Sc. Part-time
1062,Electrical and Computer Engineering, University of Illinois at Urbana Champaign ," Urbana, Illinois, United States ",29854 EUR,year,1 year,M.Eng. Full-time
1063,Business Analytics, MIT Sloan School of Management ," Cambridge, Massachusetts, United States ",44141 EUR,year,1 year,Full-time
1064,Health Informatics, Jacksonville University ," Jacksonville, Florida, United States ",578 EUR,credit,2 years,M.Sc. Full-time
1065,Bioinformatics, University of Minho ," Braga, Portugal ",6500 EUR,year,2 years,M.Sc. Full-time
1066,Machine Learning for Visual Data Analytics, Queen Mary University of London ," London, England, United Kingdom ",27903 EUR,year,1 year,M.Sc. Full-time Part-time
1067,Biomedical Data Science and Modeling, Illinois Institute of Technology ," Chicago, Illinois, United States ",1333 EUR,credit,1 year,M.Sc. Full-time
1068,Data Science, University of Southampton ," Southampton, England, United Kingdom ",31282 EUR,year,1 year,M.Sc. Full-time
1069,Creative and Cultural Entrepreneurship - Computing Pathway," Goldsmiths, University of London "," London, England, United Kingdom ",23930 EUR,year,1 year,M.A. Full-time Part-time
1070,Information Technology Management 12-Month Track, Carnegie Mellon University Australia ," Adelaide, South Australia, Australia ",50168 EUR,year,1 year,M.Sc. Full-time Part-time
1071,Information and Communication Technologies (Research), Swinburne University of Technology ," Melbourne, Victoria, Australia ",24244 EUR,year,2 years,Full-time Part-time
1072,Geography, Ohio University ," Athens, Ohio, United States ",10693 EUR,year,2 years,M.Sc. Full-time
1073,Symbolic Systems, Stanford University ," Stanford, California, United States ",29904 EUR,year,2 years,M.Sc. Full-time
1074,"Advanced Computational Methods for Aeronautics, Flow Management and Fluid-Structure Interaction", Imperial College London ," London, England, United Kingdom ",39612 EUR,year,1 year,M.Sc. Full-time
1075,Networking and Data Communications with Management Studies, Kingston University ," London, England, United Kingdom ",18175 EUR,year,1 year,M.Sc. Full-time Part-time
1076,Digital Arts," University of the Witwatersrand, Johannesburg "," Johannesburg, South Africa ",1531 EUR,year,1 year,Full-time Part-time
1077,Computing, Unitec Institute of Technology ," Auckland, New Zealand ",13590 EUR,year,2 years,Full-time Part-time
1078,Computer Science, West Chester University ," West Chester, Pennsylvania, United States ",2146 EUR,year,1 year,M.Sc. Full-time
1079,Computer Science, Northern Kentucky University ," Highland Heights, Kentucky, United States ",844 EUR,credit,1 year,M.Sc. Full-time
1080,Decision Analysis and Data science, Stockholm University , Online ,13393 EUR,year,2 years,M.Sc. Full-time
1081,Data Science, Charles Darwin University ," Alice Springs, Northern Territory, Australia ",18845 EUR,year,2 years,M.Sc. Full-time Part-time Online
1082,Nursing, The University of Alabama at Birmingham ," Birmingham, Alabama, United States ",1188 EUR,credit,1 year,M.Sc. Full-time
1083,Computer Engineering, University of Massachusetts Dartmouth ," New York City, New York, United States ",18320 EUR,year,1 year,M.Sc. Full-time
1084,Data Analytics, Western University - Canada ," London, Canada ",22272 EUR,year,1 year,Full-time
1085,Security and Cloud Computing (SECCLO) (Erasmus Mundus), Aalto University ," Helsinki, Finland ",15000 EUR,year,2 years,M.Sc. Full-time
1086,Information Systems, The City University of New York ," New York City, New York, United States ",706 EUR,credit,1 year,M.Sc. Full-time
1087,UX Design and Digital Business, IPAG Business School , Online ,9000 EUR,full,10 months,M.Sc. Full-time
1088,Electrical Engineering, CentraleSupélec ," Paris, France ",6000 EUR,year,1 year,Full-time
1089,"Media, Technology and Society", Darmstadt University of Applied Sciences ," Darmstadt, Germany ",0 EUR,year,2 years,M.A. Full-time
1090,Decision Analysis and Data science, Stockholm University , Online ,13393 EUR,year,2 years,M.Sc. Full-time
1091,Data Science, Charles Darwin University ," Alice Springs, Northern Territory, Australia ",18845 EUR,year,2 years,M.Sc. Full-time Part-time Online
1092,Nursing, The University of Alabama at Birmingham ," Birmingham, Alabama, United States ",1188 EUR,credit,1 year,M.Sc. Full-time
1093,Computer Engineering, University of Massachusetts Dartmouth ," New York City, New York, United States ",18320 EUR,year,1 year,M.Sc. Full-time
1094,Data Analytics, Western University - Canada ," London, Canada ",22272 EUR,year,1 year,Full-time
1095,Security and Cloud Computing (SECCLO) (Erasmus Mundus), Aalto University ," Helsinki, Finland ",15000 EUR,year,2 years,M.Sc. Full-time
1096,Information Systems, The City University of New York ," New York City, New York, United States ",706 EUR,credit,1 year,M.Sc. Full-time
1097,UX Design and Digital Business, IPAG Business School , Online ,9000 EUR,full,10 months,M.Sc. Full-time
1098,Electrical Engineering, CentraleSupélec ," Paris, France ",6000 EUR,year,1 year,Full-time
1099,"Media, Technology and Society", Darmstadt University of Applied Sciences ," Darmstadt, Germany ",0 EUR,year,2 years,M.A. Full-time
1100,Computational Social Science, George Mason University ," Fairfax, Virginia, United States ",1166 EUR,credit,1 year,M.A. Full-time
1101,Computer Science, Purdue University Fort Wayne ," Fort Wayne, Indiana, United States ",697 EUR,credit,1 year,Full-time
1102,Graduate Pathway in Information Systems with IS Background - Information Systems - Systems Development, Illinois State University ," Normal, Illinois, United States ",13123 EUR,year,½ year,Pre-Master Full-time
1103,Computer Science, Clark Atlanta University ," Atlanta, Georgia, United States ",680 EUR,credit, ,M.Sc. Full-time
1104,Graduate Pathway in Health Informatics, Hofstra University ," Hempstead, New York, United States ",17896 EUR,year,½ year,Pre-Master Full-time
1105,Information Management and Digital Business - Digital Innovation, University of Reading ," Reading, England, United Kingdom ",22019 EUR,year,1 year,M.Sc. Full-time Part-time
1106,Health Informatics, Idaho State University , Online ,21923 EUR,year,1 year,M.Sc. Part-time
1107,Data Science, New Jersey Institute of Technology ," Newark, New Jersey, United States ",25221 EUR,year,1 year,M.Sc. Full-time
1108,Applied Data Science, Indiana University - Purdue University Indianapolis ," Indianapolis, Indiana, United States ",856 EUR,credit,1 year,M.Sc. Full-time
1109,Cybersecurity and Threat Intelligence, University of Guelph ," Guelph, Canada ",9237 EUR,year,1 year,Full-time
1110,Computational Social Science, George Mason University ," Fairfax, Virginia, United States ",1166 EUR,credit,1 year,M.A. Full-time
1111,Computer Science, Purdue University Fort Wayne ," Fort Wayne, Indiana, United States ",697 EUR,credit,1 year,Full-time
1112,Graduate Pathway in Information Systems with IS Background - Information Systems - Systems Development, Illinois State University ," Normal, Illinois, United States ",13123 EUR,year,½ year,Pre-Master Full-time
1113,Computer Science, Clark Atlanta University ," Atlanta, Georgia, United States ",680 EUR,credit, ,M.Sc. Full-time
1114,Graduate Pathway in Health Informatics, Hofstra University ," Hempstead, New York, United States ",17896 EUR,year,½ year,Pre-Master Full-time
1115,Information Management and Digital Business - Digital Innovation, University of Reading ," Reading, England, United Kingdom ",22019 EUR,year,1 year,M.Sc. Full-time Part-time
1116,Health Informatics, Idaho State University , Online ,21923 EUR,year,1 year,M.Sc. Part-time
1117,Data Science, New Jersey Institute of Technology ," Newark, New Jersey, United States ",25221 EUR,year,1 year,M.Sc. Full-time
1118,Applied Data Science, Indiana University - Purdue University Indianapolis ," Indianapolis, Indiana, United States ",856 EUR,credit,1 year,M.Sc. Full-time
1119,Cybersecurity and Threat Intelligence, University of Guelph ," Guelph, Canada ",9237 EUR,year,1 year,Full-time
1120,Electrical Engineering, University of Saskatchewan ," Saskatoon, Canada ",4573 EUR,year,2 years,Full-time
1121,Neuroscience, Bilkent University ," Ankara, Turkey ",11975 EUR,year,2 years,M.Sc. Full-time
1122,Computational Linguistics, University of Washington ," Seattle, Washington, United States ",15673 EUR,year,1 year,M.Sc. Full-time Part-time
1123,Information Systems Management (Global), Carnegie Mellon University Australia ," Adelaide, South Australia, Australia ",17224 EUR,year,"1 year, 9 months",Full-time
1124,Telecommunications, Yildiz Technical University ," Istanbul, Turkey ",,,2 years,M.Sc. Full-time
1125,Data Science, University of Gloucestershire ," Cheltenham, England, United Kingdom ",17126 EUR,year,1 year,M.Sc. Full-time
1126,Data Science, Ulster University ," Derry, N Ireland, United Kingdom ",17371 EUR,year,2 years,M.Sc. Full-time
1127,Telecommunications, University of Otago ," Dunedin, New Zealand ",32243 EUR,year,1 year,Full-time
1128,Information Technology Management 21-Month Track, Carnegie Mellon University Australia ," Adelaide, South Australia, Australia ",34449 EUR,year,"1 year, 9 months",M.Sc. Full-time
1129,Information Systems, Dublin Business School ," Dublin, Ireland ",12500 EUR,year,1 year,M.B.A. Full-time Part-time
1130,Information Technology, Florida State University ," Tallahassee, Florida, United States ",917 EUR,credit,1 year,M.Sc. Full-time
1131,Computer Education and Instructional Technologies, Yildiz Technical University ," Istanbul, Turkey ",,,2 years,M.Sc. Full-time
1132,Computer Science, Purdue University Northwest ," Hammond, Indiana, United States ",6245 EUR,year,2 years,M.Sc. Full-time
1133,Computerized Mathematics, An-Najah National University ," Nablus, Palestinian Territory, Occupied ",,,2 years,M.Sc. Full-time
1134,Informatics - Language Technology, University of Oslo ," Oslo, Norway ",0 EUR,year,2 years,Full-time
1135,Business Administration (with a Concentration in Information Systems), California State University Fullerton ," Fullerton, California, United States ",16778 EUR,year,3 years,M.B.A. Full-time Part-time
1136,Product Innovation and Computing, DePaul University ," Chicago, Illinois, United States ",714 EUR,credit,2 years,M.Sc. Full-time
1137,PGCE Secondary (Computer Studies), Bishop Grosseteste University ," Lincoln, England, United Kingdom ",14971 EUR,year,1 year,Postgraduate Certificate Full-time
1138,GeoInformatics, Millersville University of Pennsylvania ," Millersville, Pennsylvania, United States ",770 EUR,credit,1 year,M.Sc. Full-time
1139,Physical Geography, Henan University ," Kaifeng, China ",2869 EUR,year,3 years,Full-time
1140,Geological Sciences, Arizona State University ," Tempe Junction, Arizona, United States ",20811 EUR,year,2 years,Full-time
1141,Materials Science, University of Paderborn ," Paderborn, Germany ",0 EUR,year,2 years,M.Sc. Full-time
1142,Data Networks and Security, Birmingham City University ," Birmingham, England, United Kingdom ",15379 EUR,year,1 year,M.Sc. Full-time Part-time
1143,Cyber Security And Information Assurance, Roosevelt University ," Chicago, Illinois, United States ",17570 EUR,year,2 years,M.Sc. Full-time
1144,Geographic Information Science, Northwest Missouri State University ," Maryville, Missouri, United States ",6439 EUR,year,1 year,M.Sc. Full-time
1145,Software Systems including placement year, University of Bath ," Bath, England, United Kingdom ",29126 EUR,year,2 years,M.Sc. Full-time
1146,Intelligent Automation, University of Skövde ," Skövde, Sweden ",12350 EUR,year,2 years,Full-time
1147,Graphic and Web Design, Minneapolis College of Art and Design , Online ,8473 EUR,year,2 years,M.A. Full-time Part-time
1148,Software Engineering, Sapienza University of Rome ," Roma, Italy ",2924 EUR,year,2 years,M.Sc. Full-time Part-time
1149,Computer Education and Instructional Technology, Yildiz Technical University ," Istanbul, Turkey ",,,2 years,M.Sc. Full-time
1150,Machine Learning and Data Science, University of Lille ," Lille, France ",256 EUR,year,2 years,Full-time
1151,Geographic Information Science, Technological University Dublin ," Abbey Wood, England, United Kingdom ",2925 EUR,year,2 years,M.Sc. Part-time
1152,Computational Neuroscience, TU Berlin ," Berlin, Germany ",0 EUR,year,2 years,M.Sc. Full-time
1153,UX and UI Design and Development, New York Institute of Technology ," Manhattan, New York, United States ",1156 EUR,credit,1 year,M.A. Full-time
1154,"Video Game Enterprise, Production and Design", Birmingham City University ," Birmingham, England, United Kingdom ",16893 EUR,year,1 year,M.Sc. Full-time
1155,Information Systems Audit and Control, Georgia State University ," Atlanta, Georgia, United States ",24953 EUR,year,1 year,M.Sc. Full-time
1156,Information Science, University of North Texas ," Denton, Texas, United States ",24911 EUR,year,1 year,M.Sc. Full-time
1157,Graduate Pathway in Computer Science, George Mason University ," Fairfax, Virginia, United States ",,,½ year,Pre-Master Full-time
1158,International Security Studies, University of St Andrews ," Saint Andrews, Scotland, United Kingdom ",28241 EUR,year,1 year,M.Litt. Full-time
1159,Speech Language Pathology, Lamar University ," Beaumont, Texas, United States ",8779 EUR,year,2 years,M.Sc. Full-time
1160,Data Science and Machine Learning, National University of Singapore ," Singapore, Singapore ",39534 EUR,year,1 year,M.Sc. Full-time Part-time
1161,Information Technology - Cyber Security, Zayed University ," Abu Dhabi, United Arab Emirates ",719 EUR,credit,2 years,M.Sc. Full-time
1162,Computer Science, Georgia Southern University ," Statesboro, Georgia, United States ",10951 EUR,year,1 year,M.Sc. Full-time Blended Learning
1163,Policing and Cybercrime, Liverpool John Moores University ," Liverpool, England, United Kingdom ",18175 EUR,year,1 year,M.Sc. Full-time Part-time
1164,Data Analytics, University of Brighton ," Brighton, England, United Kingdom ",17825 EUR,year,1 year,Full-time Part-time Blended Learning
1165,Computer and Information Science - Computer Science, University of North Florida ," Jacksonville Beach, Florida, United States ",28185 EUR,year,1 year,M.Sc. Full-time
1166,Software and Knowledge Engineering, University of Otago ," Dunedin, New Zealand ",10747 EUR,year,½ year,Full-time
1167,Business Administration - Management of Information and Technology, Montclair State University ," Montclair, New Jersey, United States ",579 EUR,credit,2 years,M.B.A. Full-time
1168,Forensic Computing and Cybercrime Investigation, University College Dublin ," Dublin, Ireland ",9670 EUR,year,1 year,M.Sc. Full-time Part-time
1169,Computer Science - Big Data Engineering, Vrije Universiteit Amsterdam ," Amsterdam, Netherlands ",14026 EUR,year,2 years,M.Sc. Full-time
1170,Computer Auditing, University of Johannesburg ," Johannesburg, South Africa ",851 EUR,year,2 years,Part-time
1171,Digital Pioneering, Zeppelin University ," Friedrichshafen, Germany ",14800 EUR,year,"1 year, 9 months",M.A. Part-time
1172,Health Informatics, Arkansas Tech University ," Russellville, Alabama, United States ",482 EUR,credit,1 year,M.Sc. Full-time Online
1173,Information Design and Strategy, Northwestern University , Online ,2960 EUR,module,2 years,M.Sc. Full-time
1174,Computer Science and Engineering, Amrita University ," Coimbatore, India ",4129 EUR,year,2 years,Full-time
1175,Dependable Software Systems, University of Lorraine , Multiple locations ,8000 EUR,year,2 years,Full-time
1176,Data Journalism," City, University of London "," London, England, United Kingdom ",24734 EUR,year,10 months,M.A. Full-time
1177,Pathology and Pathophysiology, Central South University ," Changsha, China ",3172 EUR,year,3 years,Full-time
1178,Biomedical Informatics, Arizona State University ," Phoenix, Arizona, United States ",20811 EUR,year,2 years,M.Sc. Full-time
1179,Applied Computer Science and Society, University of Winnipeg ," Winnipeg, Canada ",9512 EUR,year,2 years,M.Sc. Full-time
1180,Artificial Intelligence and Distributed Computing, West University of Timisoara ," Timisoara, Romania ",270 EUR,module,2 years,M.Sc. Full-time
1181,Mechatronics Engineering, National University of Sciences and Technology ," Islamabad, Pakistan ",1470 EUR,year,1 year,M.Sc. Full-time
1182,Informatics - Games Engineering, Technical University of Munich ," Garching bei München, Germany ",284 EUR,year,2 years,M.Sc. Full-time
1183,Health Economics and Policy, Lancaster University ," Lancaster, England, United Kingdom ",13153 EUR,year,2 years,M.Sc. Part-time Blended Learning
1184,Software Engineering, Saint Louis University ," Saint Louis, Missouri, United States ",17929 EUR,year,4 months,M.Sc. Full-time
1185,Mobile Technology, Technical University of Ostrava ," Ostrava, Czech Republic ",4000 EUR,year,2 years,Full-time
1186,Control and Information Systems, Technical University of Ostrava ," Ostrava, Czech Republic ",4000 EUR,year,2 years,Full-time
1187,Cybersecurity - Online Degree, Georgia Institute of Technology , Online ,256 EUR,credit,2 years,M.Sc. Part-time
1188,Healthcare Technologies, King's College London , Multiple locations ,32505 EUR,year,1 year,Full-time
1189,DevOps, Letterkenny Institute of Technology ," Letterkenny, Ireland ",10000 EUR,year,1 year,M.Sc. Full-time Part-time
1190,eScience (Coursework), University of Pretoria ," Pretoria, South Africa ",4227 EUR,year,2 years,M.Sc. Full-time
1191,Socio-Informatics, Stellenbosch University ," Stellenbosch, South Africa ",1276 EUR,year,1 year,M.A. Full-time
1192,Data Science, Pompeu Fabra University ," Barcelona, Spain ",18500 EUR,year,1 year,Full-time
1193,Geographical Information Science, Southwest University China ," Chongqing, China ",4241 EUR,year,3 years,Full-time
1194,Computer Science, University of York , Online ,4544 EUR,year,2 years,M.Sc. Part-time
1195,Computer Science Pre-Master's Pathway," The College, Swansea University "," Swansea, Wales, United Kingdom ",15728 EUR,year,1 year,Pre-Master Full-time
1196,Visual Effects Production (3D), Pearson College London ," London, England, United Kingdom ",20965 EUR,year,1 year,M.A. Full-time Online
1197,Financial Mathematics, University of Queensland ," Brisbane, Queensland, Australia ",26115 EUR,year,1½ years,Full-time Part-time Online
1198,Information Systems, Drexel University , Online ,1108 EUR,credit,1 year,M.Sc. Full-time
1199,Color Science, Rochester Institute of Technology ," Rochester, New York, United States ",43019 EUR,year,1 year,M.Sc. Full-time
1200,Master of Information and Communication Technology Advanced, University of Wollongong ," Wollongong, New South Wales, Australia ",21533 EUR,year,2 years,Full-time Part-time
1201,Information Technology, Purdue University Global , Online ,347 EUR,credit,2 years,M.Sc. Full-time
1202,Computer Graphics and Game Technology, University of Pennsylvania ," Philadelphia, Pennsylvania, United States ",6037 EUR,module,2 years,Full-time
1203,Strategic Information Systems Management, Stockholm University ," Stockholm, Sweden ",13400 EUR,year,2 years,M.Sc. Full-time
1204,Web Design and Content Planning, University of Greenwich ," City of London, England, United Kingdom ",16893 EUR,year,1 year,M.A. Full-time Part-time
1205,Information Technology with Management, University of St Andrews ," Saint Andrews, Scotland, United Kingdom ",28241 EUR,year,1 year,M.Sc. Full-time Part-time
1206,Engineering (Mechanical), University of Adelaide ," Adelaide, South Australia, Australia ",28317 EUR,year,2 years,M.Eng. Full-time Part-time
1207,Computer Science, University of North Carolina Chapel Hill ," Chapel Hill, North Carolina, United States ",23353 EUR,year,2 years,M.Sc. Full-time
1208,Computer Engineering, Wright State University ," Dayton, Ohio, United States ",20056 EUR,year,1 year,M.Sc. Full-time
1209,Speech-Language Pathology, The City University of New York ," New York City, New York, United States ",706 EUR,credit,1 year,M.Sc. Full-time
1210,Pre-Master's - ACS - Artificial Intelligence, INTO Manchester ," Manchester, England, United Kingdom ",18938 EUR,year,½ year,Pre-Master Full-time Blended Learning
1211,Data Science, Aberystwyth University ," Aberystwyth, Wales, United Kingdom ",18466 EUR,year,1 year,M.Sc. Full-time
1212,Computer Science, Texas A&M University - Kingsville ," Kingsville, Texas, United States ",22732 EUR,year,2 years,M.Sc. Full-time
1213,Petroleum Geoscience, Sultan Qaboos University ," Muscat, Oman ",257 EUR,credit,2 years,M.Sc. Full-time Part-time
1214,Global Epidemiology, Emory University ," Atlanta, Georgia, United States ",34190 EUR,year,2 years,Full-time
1215,Software Engineering, Kennesaw State University ," Kennesaw, Georgia, United States ",10564 EUR,year,1 year,M.Sc. Full-time
1216,Telecom Policy and Technology Management, The University of the West Indies ," New Kingston, Jamaica ",,,2 years,M.Sc. Full-time Online
1217,Library and Information Management, Ulster University , Online ,17371 EUR,year,3 years,Part-time
1218,Digital Creative Media, Loughborough University London ," London, England, United Kingdom ",29709 EUR,year,1 year,M.Sc. Full-time Part-time
1219,Employment Law, Nova Southeastern University , Online ,605 EUR,credit,2 years,M.Sc. Part-time
1220,Pre-Master's - ACS - Artificial Intelligence, INTO Manchester ," Manchester, England, United Kingdom ",18938 EUR,year,½ year,Pre-Master Full-time Blended Learning
1221,Data Science, Aberystwyth University ," Aberystwyth, Wales, United Kingdom ",18466 EUR,year,1 year,M.Sc. Full-time
1222,Computer Science, Texas A&M University - Kingsville ," Kingsville, Texas, United States ",22732 EUR,year,2 years,M.Sc. Full-time
1223,Petroleum Geoscience, Sultan Qaboos University ," Muscat, Oman ",257 EUR,credit,2 years,M.Sc. Full-time Part-time
1224,Global Epidemiology, Emory University ," Atlanta, Georgia, United States ",34190 EUR,year,2 years,Full-time
1225,Software Engineering, Kennesaw State University ," Kennesaw, Georgia, United States ",10564 EUR,year,1 year,M.Sc. Full-time
1226,Telecom Policy and Technology Management, The University of the West Indies ," New Kingston, Jamaica ",,,2 years,M.Sc. Full-time Online
1227,Library and Information Management, Ulster University , Online ,17371 EUR,year,3 years,Part-time
1228,Digital Creative Media, Loughborough University London ," London, England, United Kingdom ",29709 EUR,year,1 year,M.Sc. Full-time Part-time
1229,Employment Law, Nova Southeastern University , Online ,605 EUR,credit,2 years,M.Sc. Part-time
1230,National Security Studies, American Public University , Online ,306 EUR,credit,2 months,Postgraduate Certificate Part-time
1231,Computer Engineering, Rochester Institute of Technology ," Rochester, New York, United States ",43019 EUR,year,2 years,M.Sc. Full-time
1232,Computing (with Major Options), Dublin City University ," Dublin, Ireland ",17000 EUR,year,1 year,M.Sc. Full-time Part-time
1233,Geoinformatics, University of Münster ," Münster, Germany ",0 EUR,year,2 years,M.Sc. Full-time
1234,Robotics and Control, Umea University ," Umeå, Sweden ",6944 EUR,year,2 years,Full-time
1235,Electrical and Computer Engineering, North Dakota State University ," Fargo, North Dakota, United States ",541 EUR,credit,1 year,Full-time
1236,Information Systems, Auburn University ," Auburn, Alabama, United States ",26390 EUR,year,1 year,M.Sc. Full-time Blended Learning
1237,Mechatronics Engineering, American University of Sharjah (AUS) ," Sharjah, United Arab Emirates ",6474 EUR,year,5 years,M.Sc. Full-time
1238,Pre-Master's - Information Systems, INTO Manchester ," Manchester, England, United Kingdom ",18938 EUR,year,½ year,Pre-Master Full-time Blended Learning
1239,Health Administration, University of Ottawa ," Ottawa, Canada ",11338 EUR,year,2 years,Full-time
1240,Online Cybersecurity - Information Assurance, University of Detroit Mercy , Online ,720 EUR,credit,1 year,Part-time
1241,Software Engineering, Central Connecticut State University ," New Britain, Connecticut, United States ",21531 EUR,year,1 year,M.Sc. Full-time
1242,Cyber Technology, De Montfort University ," Leicester, England, United Kingdom ",21297 EUR,year,1 year,M.Sc. Full-time Part-time
1243,Data Science and Analytics, University College Cork ," Cork, Ireland ",18130 EUR,year,1 year,M.Sc. Full-time
1244,Cryptography, METU Middle East Technical University ," Ankara, Turkey ",505 EUR,year,2 years,M.Sc. Full-time
1245,Information Technology, Fairfax University of America ," Fairfax, Virginia, United States ",600 EUR,credit,2 years,M.Sc. Full-time
1246,Socioinformatics, Technical University of Kaiserslautern ," Kaiserslautern, Germany ",0 EUR,year,2 years,M.Sc. Full-time
1247,Computer Application Technology, Nanjing University of Science and Technology ," Nanjing, China ",4546 EUR,year,2½ years,Full-time
1248,Health Sciences - Health and Community, University of Canterbury ," Christchurch, New Zealand ",47025 EUR,year,2 years,Full-time Part-time
1249,Computer Science, University of Vienna ," Vienna, Austria ",727 EUR,year,2 years,Full-time
1250,Cyber Security, Edith Cowan University ," Joondalup, Western Australia, Australia ",11486 EUR,year,½ year,Postgraduate Certificate Full-time Part-time
1251,Computer Science and Electrical Engineering, Oregon Health & Science University ," Oregon, Ohio, United States ",624 EUR,credit,1 year,M.Sc. Full-time
1252,Graduate Pathway in Software Engineering, George Mason University ," Fairfax, Virginia, United States ",19085 EUR,year,½ year,Pre-Master Full-time
1253,Bioinformatics, University of Queensland ," Brisbane, Queensland, Australia ",26685 EUR,year,1½ years,Full-time Part-time
1254,Mathematics and Foundations of Computer Science, University of Oxford ," Oxford, England, United Kingdom ",31992 EUR,year,1 year,M.Sc. Full-time
1255,Creative Technology, Middlesex University ," London, England, United Kingdom ",16893 EUR,year,1 year,Full-time
1256,Computing with International Business, University of Dundee ," Dundee, Scotland, United Kingdom ",26738 EUR,year,1 year,M.Sc. Full-time
1257,Geographical Information Systems and Science, Kingston University ," London, England, United Kingdom ",17359 EUR,year,1 year,M.Sc. Full-time Part-time
1258,Geographical Information Systems, George Washington University ," Washington, D. C., Washington, D.C., United States ",1507 EUR,credit,2 years,Postgraduate Certificate Full-time
1259,Research in Computer Science, University of Warwick ," Coventry, England, United Kingdom ",,,1 year,M.Sc. Full-time
1260,Applied Mathematics and Computer Science, Indiana University South Bend ," South Bend, Indiana, United States ",589 EUR,credit,1 year,M.Sc. Full-time
1261,Computer Engineering, Jackson State University ," Jackson, Mississippi, United States ",793 EUR,credit,1 year,M.Sc. Full-time
1262,Data Science for Public Policy, Georgetown University ," Washington, D. C., Washington, D.C., United States ",45210 EUR,year,1 year,Full-time
1263,Computer Science, Nova Southeastern University ," Davie, Florida, United States ",722 EUR,credit,2 years,M.Sc. Full-time Part-time
1264,Environmental Biology and Computer Science, Roskilde University ," Roskilde, Denmark ",18000 EUR,year,2 years,M.Sc. Full-time
1265,Psychology - Behavioural Data Science, University of Amsterdam ," Amsterdam, Netherlands ",16060 EUR,year,1 year,M.Sc. Full-time
1266,Business Information Management and Systems, La Trobe University ," Melbourne, Victoria, Australia ",22526 EUR,year,2 years,Full-time Part-time
1267,Machine Learning and Autonomous Systems, University of Bath ," Bath, England, United Kingdom ",29126 EUR,year,1 year,M.Sc. Full-time
1268,Graduate Pathway in Computer Science - Computer Science, Oregon State University ," Corvallis, Oregon, United States ",19952 EUR,year,½ year,Pre-Master Full-time
1269,Data Science, American University Washington DC ," Washington, D. C., Washington, D.C., United States ",24209 EUR,year,1 year,Pre-Master Full-time
1270,Cybersecurity, Mercy College New York ," New York City, New York, United States ",783 EUR,credit,1 year,M.Sc. Full-time
1271,Computer Science (Cyber Security), Iona College ," New York City, New York, United States ",997 EUR,credit,1 year,M.Sc. Full-time
1272,Software Engineering Management, Strayer University , Online ,2056 EUR,module,1 year,M.Sc. Part-time
1273,Digital Strategy and Information Systems, University of Southampton ," Southampton, England, United Kingdom ",28031 EUR,year,1 year,M.Sc. Full-time
1274,Fintech with Business Analytics, University of Westminster ," London, England, United Kingdom ",17476 EUR,year,1 year,M.Sc. Full-time
1275,Digital and Visual Communications (Computer Games Design), University of Wolverhampton ," Wolverhampton, England, United Kingdom ",16252 EUR,year,1 year,M.A. Full-time Part-time
1276,Computer Science, Queen Mary University of London ," London, England, United Kingdom ",30233 EUR,year,1 year,M.Sc. Full-time Part-time
1277,Information Technology - Information Assurance and Cyber Security, Walden University , Online ,,, ,M.Sc. Part-time
1278,Broadcast and Electronic Communication Arts, San Francisco State University ," San Francisco, California, United States ",7328 EUR,year,1 year,M.A. Full-time
1279,Embedded Systems, KTH Royal Institute of Technology ," Haninge, Sweden ",14619 EUR,year,2 years,M.Sc. Full-time
1280,Information Systems Management," National University of Ireland, Galway "," Galway, Ireland ",18000 EUR,year,1 year,M.Sc. Full-time Part-time
1281,Software Engineering, University of Scranton ," Scranton, Pennsylvania, United States ",797 EUR,credit,1 year,M.Sc. Full-time
1282,Robotics and Intelligent Machine Engineering, National University of Sciences and Technology ," Islamabad, Pakistan ",1470 EUR,year,1 year,M.Sc. Full-time
1283,Computer Science, University of Delaware ," Newark, Delaware, United States ",1567 EUR,credit,1 year,M.Sc. Full-time
1284,Computational Biomedical Engineering, Pompeu Fabra University ," Barcelona, Spain ",5750 EUR,year,1 year,M.Eng. Full-time Part-time
1285,Wireless and Optical Communications, University College London (UCL) ," London, England, United Kingdom ",36349 EUR,year,1 year,M.Sc. Full-time
1286,Data Science including placement year, University of Bath ," Bath, England, United Kingdom ",29126 EUR,year,2 years,M.Sc. Full-time
1287,Computer Science and Technology, Southwest Jiaotong University ," Leshan, China ",3786 EUR,year,3 years,Full-time
1288,Microelectronics, University of Macau ," Macau, Macao (SAR) ",5283 EUR,year,3 years,M.Phil. Full-time
1289,Data Analytics (including Professional Practice), Aston University ," Birmingham, England, United Kingdom ",22369 EUR,year,"1 year, 10 months",M.Sc. Full-time
1290,Management of Information Systems, Transport and Telecommunication Institute ," Riga, Latvia ",3500 EUR,year,2 years,M.Eng. Full-time Part-time Online
1291,Information and Communication Engineering, University of Electronic Science and Technology of China ," Chengdu, China ",3171 EUR,year,2 years,M.Sc. Full-time
